,Age,Gender,Degree of Edu,Income,Health Condition,Outdoor Activity Engaged,Outdoor Activity Eliminated(Days),Air Index (Activity Reduced),Air Index(Activity Eliminated)
315,57,Male,College,"Upto to $99,999",Good,Daily,1,Maroon – Hazardous,Maroon – Hazardous
316,55,Male,Associates degree,"Upto to $99,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
317,34,Female,College,No Response,Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
318,22,Female,High school,"Upto to $99,999",Fair,A few times per week,2,Red – Unhealthy,Red – Unhealthy
319,56,Male,College,"Upto to $74,999",Excellent,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
320,46,Male,High school graduate,"$100,000 or more",Good,Common,6,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
321,42,Male,Associates degree,"$100,000 or more",Good,A few times per week,2,Not familiar,Not familiar
322,39,Male,College,No Response,Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
323,46,Male,College,"Upto to $49,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
324,31,Female,College,"Upto to $49,999",Good,Daily,1,Maroon – Hazardous,Maroon – Hazardous
325,44,Male,High school,"$100,000 or more",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
326,19,Male,High school,"Upto to $49,999",Good,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
327,40,Male,College,"Upto to $99,999",Fair,Daily,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
328,18,Male,8th grade or less,"$25,000 or less",Good,A few times per week,4,Red – Unhealthy,Red – Unhealthy
329,22,Male,High school,"$25,000 or less",Good,Common,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
330,20,Female,High school,"$100,000 or more",Good,No Response,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
331,37,Female,Associates degree,"$100,000 or more",Good,Daily,2,Not familiar,Not familiar
332,42,Female,Associates degree,"Upto to $99,999",Excellent,Daily,2,Yellow – Moderate,Yellow – Moderate
333,45,Male,Associates degree,"Upto to $99,999",Excellent,Daily,3,Red – Unhealthy,Purple – Very Unhealthy
334,25,Male,College,"Upto to $99,999",Good,No Response,4,Red – Unhealthy,Purple – Very Unhealthy
335,33,Male,College,"Upto to $99,999",Good,Common,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
336,42,Male,Associates degree,"$100,000 or more",Fair,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
337,28,Male,High school,"$25,000 or less",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
338,56,Male,College,"Upto to $99,999",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
339,30,Male,College,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
340,47,Female,College,"Upto to $74,999",Good,Daily,2,Purple – Very Unhealthy,Purple – Very Unhealthy
341,36,Female,Associates degree,"Upto to $99,999",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
342,68,Female,Associates degree,"Upto to $99,999",Excellent,Daily,2,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
343,20,Male,8th grade or less,"Upto to $74,999",Good,Daily,4,Red – Unhealthy,Maroon – Hazardous
344,26,Female,College,"Upto to $74,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
345,35,Male,Associates degree,"Upto to $74,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
346,59,Female,Associates degree,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
347,18,Male,8th grade or less,"Upto to $49,999",Good,Common,1,Red – Unhealthy,Red – Unhealthy
348,29,Male,Associates degree,"Upto to $74,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
349,22,Others,High school,"Upto to $49,999",Fair,010100,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
350,62,Male,College,"$100,000 or more",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
351,58,Female,Associates degree,"Upto to $49,999",Good,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
352,50,Female,College,"Upto to $49,999",Excellent,A few times per week,5,Red – Unhealthy,Red – Unhealthy
353,58,Female,Associates degree,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
354,35,Male,College,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
355,34,Male,Associates degree,"Upto to $99,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
356,66,Male,College,"Upto to $49,999",Good,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
357,34,Male,College,"Upto to $49,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
358,58,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
359,21,Male,High school,"$25,000 or less",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
360,20,Male,High school,"$25,000 or less",Excellent,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
361,18,Male,8th grade or less,"$100,000 or more",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
362,32,Male,High school,"$25,000 or less",Good,A few times per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
363,59,Female,Associates degree,"$100,000 or more",Excellent,Once per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
364,54,Female,Associates degree,"$100,000 or more",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
365,33,Male,Associates degree,"$100,000 or more",Excellent,Daily,3,Red – Unhealthy,Red – Unhealthy
366,39,Female,High school,"Upto to $49,999",Good,No Response,1,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
367,20,Male,High school,"Upto to $74,999",Good,A few times per week,2,Purple – Very Unhealthy,Maroon – Hazardous
368,40,Male,College,"$100,000 or more",Excellent,A few times per week,3,Purple – Very Unhealthy,Red – Unhealthy
369,19,Male,8th grade or less,"$100,000 or more",Fair,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
370,26,Male,College,"Upto to $49,999",Fair,No Response,4,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
371,20,Male,High school,"Upto to $49,999",Excellent,A few times per week,6,Red – Unhealthy,Purple – Very Unhealthy
372,39,Female,College,"Upto to $99,999",Excellent,A few times per week,1,Red – Unhealthy,Red – Unhealthy
373,27,Male,College,"Upto to $74,999",Good,A few times per week,3,Yellow – Moderate,Red – Unhealthy
374,23,Male,8th grade or less,"$25,000 or less",Fair,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
375,21,Male,High school,"Upto to $99,999",Excellent,Common,1,Red – Unhealthy,Maroon – Hazardous
376,63,Female,College,"Upto to $49,999",Fair,A few times per week,6,Not familiar,Not familiar
377,30,Male,High school,"Upto to $49,999",Excellent,No Response,4,Yellow – Moderate,Yellow – Moderate
378,28,Male,High school graduate,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
379,39,Female,College,No Response,Excellent,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
380,40,Female,Associates degree,"Upto to $74,999",Excellent,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
381,53,Male,College,"Upto to $99,999",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
382,18,Male,8th grade or less,"$25,000 or less",Fair,No Response,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
383,61,Female,College,"$100,000 or more",Good,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
384,60,Female,Associates degree,"Upto to $74,999",Fair,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
385,55,Male,College,"Upto to $99,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
386,20,Male,High school,"$25,000 or less",Good,No Response,5,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
387,31,Male,College,"$100,000 or more",Good,A few times per week,5,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
388,18,Male,8th grade or less,"Upto to $99,999",Excellent,Common,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
389,28,Male,College,"Upto to $49,999",Good,A few times per week,5,Yellow – Moderate,Red – Unhealthy
390,44,Male,Associates degree,"$100,000 or more",Excellent,Daily,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
391,28,Male,8th grade or less,"$25,000 or less",Good,A few times per week,6,Red – Unhealthy,Red – Unhealthy
392,21,Male,High school,"$25,000 or less",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
393,64,Male,College,"Upto to $74,999",Fair,Once per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
394,34,Male,College,"Upto to $49,999",Fair,No Response,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
395,42,Male,College,"Upto to $74,999",Good,Daily,3,Not familiar,Not familiar
396,64,Male,College,"Upto to $74,999",Good,No Response,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
397,66,Male,College,"Upto to $49,999",Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
398,34,Female,High school,"Upto to $49,999",Excellent,A few times per week,2,Not familiar,Not familiar
399,22,Male,College,"$25,000 or less",Good,Common,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
400,20,Male,High school,"$25,000 or less",Fair,Once per week,2,Not familiar,Not familiar
401,57,Male,College,"$100,000 or more",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
402,67,Male,College,"$100,000 or more",Good,No Response,1,Green – Good,Green – Good
403,42,Female,Associates degree,"Upto to $99,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
404,63,Male,College,No Response,Good,A few times per week,2,Red – Unhealthy,Red – Unhealthy
405,41,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
406,21,Male,High school graduate,"$25,000 or less",Good,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
407,32,Female,Associates degree,"Upto to $74,999",Good,Once per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
408,24,Male,College,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
409,19,Male,8th grade or less,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
410,24,Male,High school,"$25,000 or less",Fair,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
411,62,Male,High school graduate,No Response,Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
412,29,Female,College,"Upto to $99,999",Good,Once per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
413,20,Male,High school,"$25,000 or less",Good,A few times per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
414,36,Male,College,"Upto to $99,999",Good,Daily,6,Red – Unhealthy,Purple – Very Unhealthy
415,55,Female,College,"$100,000 or more",Excellent,A few times per week,1,Not familiar,Maroon – Hazardous
416,18,Male,8th grade or less,"$100,000 or more",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
417,47,Male,College,"$100,000 or more",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
418,26,Female,High school graduate,"Upto to $49,999",Excellent,Once per week,6,Red – Unhealthy,Red – Unhealthy
419,30,Male,Associates degree,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
420,36,Male,College,"$100,000 or more",Good,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
421,20,Male,High school,"$100,000 or more",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
422,54,Male,College,"Upto to $99,999",Good,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
424,34,Male,High school graduate,"$25,000 or less",Fair,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
425,41,Male,College,"Upto to $74,999",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
426,41,Female,Associates degree,"Upto to $74,999",Excellent,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
427,39,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
428,58,Male,College,"Upto to $74,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
429,38,Female,Associates degree,"Upto to $74,999",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
430,26,Male,College,"Upto to $49,999",Good,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
431,60,Male,College,"Upto to $49,999",Fair,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
432,18,Male,8th grade or less,"Upto to $49,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
433,18,Male,8th grade or less,"$100,000 or more",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
434,32,Male,College,"Upto to $74,999",Good,No Response,2,Purple – Very Unhealthy,Maroon – Hazardous
435,25,Male,High school,"Upto to $49,999",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
436,61,Male,College,No Response,Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
437,46,Female,College,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
438,31,Male,College,"Upto to $99,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
439,47,Male,College,"Upto to $49,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
440,27,Male,College,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
441,30,Female,High school,"Upto to $99,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
442,23,Male,High school,"Upto to $49,999",Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
443,51,Male,College,"$100,000 or more",Excellent,No Response,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
444,59,Male,College,"Upto to $74,999",Excellent,A few times per week,1,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
445,26,Female,8th grade or less,"Upto to $49,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
446,52,Female,College,"Upto to $99,999",Excellent,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
447,61,Male,College,"Upto to $99,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
448,19,Female,8th grade or less,"Upto to $74,999",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
449,24,Female,High school,"Upto to $74,999",Fair,Once per week,2,Not familiar,Not familiar
